"source_id","Subtopics","Topics","Region"
"at_94683","Incorporation de produits recyclés","Evolution des procédés industriels","France"
"at_58447","Incorporation de produits recyclés","Evolution des procédés industriels","France"
"at_90955","Incorporation de produits recyclés","Evolution des procédés industriels","Nouvelle-Aquitaine"
"at_90955","Réduction des consommations de matières premières","Secteur infrastructure et déchèterie","Nouvelle-Aquitaine"
"at_94687","Réduction de l'empreinte carbone","Evolution des procédés industriels","France"
"at_94217","Réduction de l'empreinte carbone","Evolution des procédés industriels","France"
"at_71467","Réduction de l'empreinte carbone","Evolution des procédés industriels","France"
"at_1065","Réduction de l'empreinte carbone","Evolution des procédés industriels","Grand Est"
"at_90860","Réduction de l'empreinte carbone","Evolution des procédés industriels","Nouvelle-Aquitaine"
"at_90777","Réduction de l'empreinte carbone","Evolution des procédés industriels","Nouvelle-Aquitaine"
"at_90871","Réduction de l'empreinte carbone","Evolution des procédés industriels","Nouvelle-Aquitaine"
"at_90871","Réduction des consommations de matières premières","Secteur infrastructure et déchèterie","Nouvelle-Aquitaine"
"at_90871","Recherche, développement et innovation","Innovation produits et services","Nouvelle-Aquitaine"
"at_90871","Démarche écoconception","Innovation produits et services","Nouvelle-Aquitaine"
"at_94689","Réduction de la consommation d'énergie","Evolution des procédés industriels","France"
"at_94689","Bilan énergétique et rénovation","Gestion des bâtiments","France"
"at_8008","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8008","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8008","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8008","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_8014","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8014","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8014","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8014","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_7995","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_7995","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_7995","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_7995","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_8005","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8005","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8005","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8005","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_8016","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8016","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8016","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8016","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_8015","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8015","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8015","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8015","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_8066","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8066","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8066","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8066","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_8009","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_8009","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_8009","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_8009","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
"at_7999","Réduction des pollutions et dépollution","Evolution des procédés industriels","Normandie"
"at_7999","Réduction des pollutions et dépollution","Evolution des procédés industriels","Île-de-France"
"at_7999","Réduction des pollutions et dépollution","Evolution des procédés industriels","Grand Est"
"at_7999","Réduction des pollutions et dépollution","Evolution des procédés industriels","Bourgogne-Franche-Comté"
