source_id	Région	Thématique - Sous-thématique	Focus
at_94683	National	Evolution des procédés industriels - Incorporation de produits recyclés	
at_58447	National	Evolution des procédés industriels - Incorporation de produits recyclés	
at_90955	Nouvelle-Aquitaine	Evolution des procédés industriels - Incorporation de produits recyclés; Secteur Infrastructure & Déchêterie - Réduction des consommations de matières premières	
at_94687	National	Evolution des procédés industriels - Réduction de l'empreinte carbone	
at_94217	National	Evolution des procédés industriels - Réduction de l'empreinte carbone	
at_71467	National	Evolution des procédés industriels - Réduction de l'empreinte carbone	
at_1065	Grand Est	Evolution des procédés industriels - Réduction de l'empreinte carbone	
at_90860	Nouvelle-Aquitaine	Evolution des procédés industriels - Réduction de l'empreinte carbone	
at_90777	Nouvelle-Aquitaine	Evolution des procédés industriels - Réduction de l'empreinte carbone	
at_90871	Nouvelle-Aquitaine	Evolution des procédés industriels - Réduction de l'empreinte carbone; Secteur Infrastructure & Déchêterie - Réduction des consommations de matières premières; Innovation produits & services - Recherche, Développement & Innovation; Innovation produits & services - Démarche écoconception	
at_94689	National	Evolution des procédés industriels - Réduction de la consommation d'énergie; Gestion des bâtiments - Bilan énergétique & Rénovation	
at_8008	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8014	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_7995	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8005	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8016	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8015	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8066	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8009	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_7999	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_8017	Bourgogne-Franche-Comté; Grand Est; Île-de-France; Normandie	Evolution des procédés industriels - Réduction des pollutions & dépollution	
at_94840	Grand Est	Evolution des procédés industriels - Réduction des pollutions & dépollution; Evolution des procédés industriels - Incorporation de produits recyclés; Evolution des procédés industriels - Réduction du gaspillage; Evolution des procédés industriels - Réduction de l'empreinte carbone; Gestion des bâtiments - Bilan énergétique & Rénovation; Innovation produits & services - Démarche écoconception; Innovation produits & services - Recherche, Développement & Innovation; Innovation produits & services - AIde aux investissements; Innovation produits & services - Numérique responsable	
at_93501	Centre-Val de Loire	Evolution des procédés industriels - Réduction des pollutions & dépollution; Evolution des procédés industriels - Réduction de l'empreinte carbone; Production & distribution d'énergie - Réseaux de chaleur & Récupération de chaleur; Production & distribution d'énergie - Stockage de l'énergie	
at_94746	National	Evolution des procédés industriels - Réduction du gaspillage	
at_55533	Auvergne-Rhône-Alpes	Gestion des bâtiments - Amélioration de la qualité de l'air	
at_80657	Bourgogne-Franche-Comté	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94574	Corse	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_48333	National	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_82915	National	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_58075	National	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_82915	National	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_95075	Grand Est	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94839	Grand Est	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_95072	Grand Est	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94574	Guadeloupe	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94574	Guyane	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94574	La Réunion	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94574	Martinique	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_94574	Mayotte	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_90788	Nouvelle-Aquitaine	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_90834	Nouvelle-Aquitaine	Gestion des bâtiments - Bilan énergétique & Rénovation	
at_90881	Nouvelle-Aquitaine	Gestion des bâtiments - Bilan énergétique & Rénovation	
